id,price,neighbourhood_group,neighbourhood
18674,202,Eixample,la Sagrada Família
23197,255,Sant Martí,el Besòs i el Maresme
32711,171,Gràcia,el Camp d'en Grassot i Gràcia Nova
171646,152,Sant Martí,el Clot
171816,150,Sant Martí,el Clot
34981,322,Ciutat Vella,el Barri Gòtic
36763,30,Ciutat Vella,la Barceloneta
174382,323,Eixample,la Sagrada Família
40983,155,Eixample,la Dreta de l'Eixample
177502,45,Eixample,la Dreta de l'Eixample
188267,348,Eixample,la Dreta de l'Eixample
41952,164,Gràcia,el Camp d'en Grassot i Gràcia Nova
190348,46,Les Corts,Pedralbes
46153,45,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
196021,386,Eixample,l'Antiga Esquerra de l'Eixample
196196,342,Eixample,la Sagrada Família
49968,177,Gràcia,el Camp d'en Grassot i Gràcia Nova
197267,42,Gràcia,la Vila de Gràcia
68547,150,Ciutat Vella,el Barri Gòtic
198958,450,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
71520,250,Gràcia,Vallcarca i els Penitents
206122,144,Gràcia,la Vila de Gràcia
206167,140,Sants-Montjuïc,el Poble Sec
71553,186,Eixample,la Dreta de l'Eixample
71736,68,Ciutat Vella,el Raval
209673,117,Gràcia,la Vila de Gràcia
214970,22,Sants-Montjuïc,el Poble Sec
72436,259,Sant Martí,el Poblenou
223096,88,Sants-Montjuïc,Sants
72793,65,Ciutat Vella,el Raval
72794,65,Ciutat Vella,el Raval
234375,225,Eixample,el Fort Pienc
73683,360,Gràcia,el Camp d'en Grassot i Gràcia Nova
75003,149,Eixample,la Sagrada Família
238703,348,Eixample,la Sagrada Família
75411,165,Sant Martí,el Clot
239821,200,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
80004,140,Sants-Montjuïc,el Poble Sec
241614,99,Ciutat Vella,el Barri Gòtic
83283,71,Eixample,Sant Antoni
242335,82,Ciutat Vella,la Barceloneta
89756,337,Ciutat Vella,el Raval
252232,197,Sant Martí,Sant Martí de Provençals
89776,196,Eixample,la Dreta de l'Eixample
253030,30,Sant Andreu,Navas
95719,70,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera"
255195,38,Ciutat Vella,el Raval
97529,47,Gràcia,el Camp d'en Grassot i Gràcia Nova
110041,159,Gràcia,el Camp d'en Grassot i Gràcia Nova
256354,28,Gràcia,Vallcarca i els Penitents
112538,419,Eixample,la Sagrada Família
256677,69,Ciutat Vella,el Barri Gòtic
117010,331,Eixample,la Sagrada Família
118228,333,Eixample,la Sagrada Família
264125,129,Sant Martí,el Camp de l'Arpa del Clot
128463,80,Sants-Montjuïc,Sants
135513,90,Sant Martí,el Poblenou
267816,1000,Ciutat Vella,el Barri Gòtic
